beta (β), betay (β_y), and betaz (β_z) 
Latitude is planetocentric and pressure unit is mbar
Unit of beta, betay, and betaz is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude     beta      betay     betaz
  387.57  -60.00      2.965    -7.536     1.354
  387.57  -59.00      3.050    -6.471     4.331
  387.57  -58.00      3.133    -4.628     5.317
  387.57  -57.00      3.215     4.614     5.634
  387.57  -56.00      3.296    18.712     6.067
  387.57  -55.00      3.375    13.676     7.868
  387.57  -54.00      3.453     5.255    11.375
  387.57  -53.00      3.529     4.783    14.146
  387.57  -52.00      3.604    -0.113    11.871
  387.57  -51.00      3.678    -3.792     7.583
  387.57  -50.00      3.750    -6.009     5.492
  387.57  -49.00      3.821    -7.698     2.422
  387.57  -48.00      3.890    -8.014    -1.141
  387.57  -47.00      3.958    -7.315    -1.603
  387.57  -46.00      4.025    -3.957    -0.108
  387.57  -45.00      4.089     1.944     1.270
  387.57  -44.00      4.153     8.606     2.159
  387.57  -43.00      4.214    13.502     3.076
  387.57  -42.00      4.275    13.151     3.361
  387.57  -41.00      4.333     5.738     2.793
  387.57  -40.00      4.390    -3.201     1.867
  387.57  -39.00      4.446    -3.290    -0.669
  387.57  -38.00      4.500    -5.467    -3.398
  387.57  -37.00      4.553    -4.536    -5.054
  387.57  -36.00      4.604    -5.216    -5.117
  387.57  -35.00      4.653    -5.396    -3.922
  387.57  -34.00      4.701    -5.776    -2.341
  387.57  -33.00      4.748    -3.907    -1.064
  387.57  -32.00      4.793    -1.467     0.213
  387.57  -31.00      4.836     1.728     0.608
  387.57  -30.00      4.878     3.714    -0.062
  387.57  -29.00      4.918     2.247    -0.598
  387.57  -28.00      4.957     4.714    -1.212
  387.57  -27.00      4.995     2.527    -1.922
  387.57  -26.00      5.031    -4.164    -2.602
  387.57  -25.00      5.065    -5.273    -2.550
  387.57  -24.00      5.098    -2.880    -1.477
  387.57  -23.00      5.130    -1.438    -0.547
  387.57  -22.00      5.160    -0.538     0.116
  387.57  -21.00      5.189    -1.678     0.981
  387.57  -20.00      5.216    -1.338     1.517
  387.57  -19.00      5.242    -1.875     1.932
  387.57  -18.00      5.266     0.369     2.564
  387.57  -17.00      5.290    -0.140     3.466
  387.57  -16.00      5.311     1.613     3.689
  387.57  -15.00      5.332    -1.622     3.732
  387.57  -14.00      5.351    -1.056     3.944
  387.57  -13.00      5.368    -0.846     3.953
  387.57  -12.00      5.385     2.029     3.088
  387.57  -11.00      5.400     4.381     1.523
  387.57  -10.00      5.413     4.765    -0.413
  387.57   -9.00      5.426     4.338    -2.279
  387.57   -8.00      5.437     5.029    -3.760
  387.57   -7.00      5.446     3.217    -5.087
  387.57   -6.00      5.455     2.559    -6.605
  387.57   -5.00      5.462    -1.371    -7.910
  387.57   -4.00      5.468    -4.813    -7.617
  387.57   -3.00      5.472    -4.446    -5.401
  387.57   -2.00      5.475    -2.579    -2.513
  387.57   -1.00      5.477     1.612    -0.546
  387.57    0.00      5.478     8.534    -0.000
  387.57    1.00      5.477     3.632    -0.440
  387.57    2.00      5.475    -7.497    -1.771
  387.57    3.00      5.472    -3.975    -3.411
  387.57    4.00      5.468    -1.036    -4.113
  387.57    5.00      5.462    -0.167    -4.370
  387.57    6.00      5.455     2.608    -3.891
  387.57    7.00      5.446     5.602    -3.435
  387.57    8.00      5.437     5.253    -2.737
  387.57    9.00      5.426     3.318    -1.892
  387.57   10.00      5.413     3.536    -0.544
  387.57   11.00      5.400     3.789     1.791
  387.57   12.00      5.385     0.720     4.423
  387.57   13.00      5.368     2.820     5.700
  387.57   14.00      5.351     0.194     6.418
  387.57   15.00      5.332    -4.135     6.310
  387.57   16.00      5.311    -0.308     5.469
  387.57   17.00      5.290    -1.656     5.174
  387.57   18.00      5.266     0.197     4.356
  387.57   19.00      5.242    -0.029     4.416
  387.57   20.00      5.216    -0.154     5.480
  387.57   21.00      5.189    -0.892     7.156
  387.57   22.00      5.160    -2.245     8.463
  387.57   23.00      5.130    -2.226     8.784
  387.57   24.00      5.098    -2.217     7.127
  387.57   25.00      5.065    -1.928     4.488
  387.57   26.00      5.031    -1.719     3.428
  387.57   27.00      4.995     1.867     3.662
  387.57   28.00      4.957     1.867     5.372
  387.57   29.00      4.918     2.122     6.869
  387.57   30.00      4.878     4.799     8.217
  387.57   31.00      4.836     0.292    10.766
  387.57   32.00      4.793    -3.918    11.632
  387.57   33.00      4.748    -5.534     8.867
  387.57   34.00      4.701    -7.297     1.933
  387.57   35.00      4.653    -6.103    -8.865
  387.57   36.00      4.604    -6.553   -20.770
  387.57   37.00      4.553    -6.807   -35.680
  387.57   38.00      4.500    -4.880   -46.000
  387.57   39.00      4.446     0.553   -46.000
  387.57   40.00      4.390     7.657   -46.000
  387.57   41.00      4.333    12.988   -46.000
  387.57   42.00      4.275    16.030   -46.000
  387.57   43.00      4.214     9.144   -43.441
  387.57   44.00      4.153     1.041   -37.492
  387.57   45.00      4.089    -5.336   -33.380
  387.57   46.00      4.025    -1.423   -31.117
  387.57   47.00      3.958    -6.581   -24.296
  387.57   48.00      3.890    -3.182   -19.209
  387.57   49.00      3.821    -5.676   -13.522
  387.57   50.00      3.750    -4.946   -13.884
  387.57   51.00      3.678    -5.319   -19.422
  387.57   52.00      3.604    -4.370   -27.709
  387.57   53.00      3.529    -1.708   -36.567
  387.57   54.00      3.453     2.024   -45.122
  387.57   55.00      3.375     5.225   -46.000
  387.57   56.00      3.296     7.361   -46.000
  387.57   57.00      3.215     3.882   -36.952
  387.57   58.00      3.133    -2.345   -24.734
  387.57   59.00      3.050    -1.476   -18.005
  387.57   60.00      2.965     1.431   -10.106
  387.57   61.00      2.879     5.673     4.604
  387.57   62.00      2.792     9.855    30.217
  387.57   63.00      2.704     4.414    46.000
  387.57   64.00      2.614    -4.202    46.000
  387.57   65.00      2.523    -1.786    46.000
  387.57   66.00      2.432    -3.234    46.000
  387.57   67.00      2.339    -4.791    46.000
  387.57   68.00      2.245    -2.723    23.282
  387.57   69.00      2.150    -3.693     6.273
  387.57   70.00      2.054    -4.091     0.754
  387.57   71.00      1.958    -5.953    10.318
  387.57   72.00      1.860    -5.114    22.723
  387.57   73.00      1.761    -0.191    31.500
  387.57   74.00      1.662     4.285    34.490
  387.57   75.00      1.562    11.227    29.844
  387.57   76.00      1.461    13.784    24.259
  387.57   77.00      1.360    -1.022    18.941
  387.57   78.00      1.258    -7.725     9.000
  387.57   79.00      1.155    -3.882    -2.623
  387.57   80.00      1.052    -6.987    -8.669
  387.57   81.00      0.948    -6.099    -8.312
  387.57   82.00      0.844    -1.969    -1.304
  387.57   83.00      0.739     1.250     9.203
  387.57   84.00      0.634     6.703    17.865
  387.57   85.00      0.529    13.529    21.017
  387.57   86.00      0.423    11.892    19.647
  387.57   87.00      0.318    12.596    17.086
  387.57   88.00      0.212     6.365    18.162
  387.57   89.00      0.106     0.134    17.017
  387.57   90.00      0.000     0.134     2.109

Pressure level 338.466 mbar
pressure latitude     beta      betay     betaz
  338.47  -90.00      0.000     1.652   -46.000
  338.47  -89.00      0.106     1.652   -19.806
  338.47  -88.00      0.212     3.253    -9.863
  338.47  -87.00      0.318     3.203   -20.465
  338.47  -86.00      0.423     3.153   -13.726
  338.47  -85.00      0.529     1.726   -16.374
  338.47  -84.00      0.634     2.659   -12.879
  338.47  -83.00      0.739    -3.920    -9.706
  338.47  -82.00      0.844    -3.806    -5.821
  338.47  -81.00      0.948    -2.584    -3.079
  338.47  -80.00      1.052    -3.853    -0.545
  338.47  -79.00      1.155    -3.220     1.725
  338.47  -78.00      1.257    -3.237     4.261
  338.47  -77.00      1.360    -2.838     6.433
  338.47  -76.00      1.461    -4.168     7.689
  338.47  -75.00      1.562    -5.540     7.980
  338.47  -74.00      1.662    -5.059     5.855
  338.47  -73.00      1.761    -0.470     1.119
  338.47  -72.00      1.860     4.278    -0.928
  338.47  -71.00      1.957    12.497    -0.510
  338.47  -70.00      2.054    14.999     1.562
  338.47  -69.00      2.150     1.757     3.286
  338.47  -68.00      2.245    -3.425     2.711
  338.47  -67.00      2.339    -2.170    -0.413
  338.47  -66.00      2.432    -5.790    -4.012
  338.47  -65.00      2.523    -3.803    -7.263
  338.47  -64.00      2.614    -4.026    -8.438
  338.47  -63.00      2.703    -2.835    -6.328
  338.47  -62.00      2.792    -2.009    -2.721
  338.47  -61.00      2.879    -4.862    -0.466
  338.47  -60.00      2.965    -7.514     0.974
  338.47  -59.00      3.049    -6.442     1.971
  338.47  -58.00      3.133    -4.617     2.140
  338.47  -57.00      3.215     4.597     2.406
  338.47  -56.00      3.295    18.712     3.355
  338.47  -55.00      3.375    13.608     5.447
  338.47  -54.00      3.453     5.241     8.513
  338.47  -53.00      3.529     4.844    10.888
  338.47  -52.00      3.604    -0.077     9.382
  338.47  -51.00      3.678    -3.820     5.582
  338.47  -50.00      3.750    -5.938     3.067
  338.47  -49.00      3.821    -7.593     0.026
  338.47  -48.00      3.890    -7.985    -3.130
  338.47  -47.00      3.958    -7.326    -3.499
  338.47  -46.00      4.024    -3.965    -1.852
  338.47  -45.00      4.089     1.908    -0.109
  338.47  -44.00      4.152     8.520     1.598
  338.47  -43.00      4.214    13.429     3.581
  338.47  -42.00      4.274    13.099     4.914
  338.47  -41.00      4.333     5.700     5.001
  338.47  -40.00      4.390    -3.123     3.847
  338.47  -39.00      4.446    -3.188     0.720
  338.47  -38.00      4.500    -5.421    -2.453
  338.47  -37.00      4.552    -4.593    -4.407
  338.47  -36.00      4.603    -5.306    -4.887
  338.47  -35.00      4.653    -5.437    -3.853
  338.47  -34.00      4.701    -5.735    -2.126
  338.47  -33.00      4.747    -3.836    -0.585
  338.47  -32.00      4.792    -1.355     0.904
  338.47  -31.00      4.836     1.817     1.494
